enrollment,interval,start,end,model
1890,Monthly,8/1/2020,8/31/2020,Virtual
1705,Monthly,8/1/2020,8/31/2020,Virtual
851,Monthly,8/1/2020,8/31/2020,Virtual
1283,Monthly,8/1/2020,8/31/2020,Virtual
1783,Monthly,8/1/2020,8/31/2020,Virtual
1418,Monthly,8/1/2020,8/31/2020,Virtual
1325,Monthly,8/1/2020,8/31/2020,Virtual
1005,Monthly,8/1/2020,8/31/2020,Virtual
1734,Monthly,8/1/2020,8/31/2020,Virtual
268,Monthly,8/1/2020,8/31/2020,Virtual
17,Monthly,8/1/2020,8/31/2020,In-person
466,Monthly,8/1/2020,8/31/2020,In-person
127,Monthly,8/1/2020,8/31/2020,In-person
62,Monthly,8/1/2020,8/31/2020,In-person
252,Monthly,8/1/2020,8/31/2020,In-person
692,Monthly,8/1/2020,8/31/2020,In-person
203,Monthly,8/1/2020,8/31/2020,Virtual
221,Monthly,8/1/2020,8/31/2020,Virtual
353,Monthly,8/1/2020,8/31/2020,Virtual
222,Monthly,8/1/2020,8/31/2020,Virtual
336,Monthly,8/1/2020,8/31/2020,Virtual
428,Monthly,8/1/2020,8/31/2020,Virtual
635,Monthly,8/1/2020,8/31/2020,Virtual
634,Monthly,8/1/2020,8/31/2020,Virtual
463,Monthly,8/1/2020,8/31/2020,Virtual
541,Monthly,8/1/2020,8/31/2020,Virtual
654,Monthly,8/1/2020,8/31/2020,Virtual
954,Monthly,8/1/2020,8/31/2020,Virtual
496,Monthly,8/1/2020,8/31/2020,Virtual
633,Monthly,8/1/2020,8/31/2020,Virtual
617,Monthly,8/1/2020,8/31/2020,Virtual
650,Monthly,8/1/2020,8/31/2020,Virtual
521,Monthly,8/1/2020,8/31/2020,Virtual
580,Monthly,8/1/2020,8/31/2020,Virtual
355,Monthly,8/1/2020,8/31/2020,Virtual
450,Monthly,8/1/2020,8/31/2020,In-person
241,Monthly,8/1/2020,8/31/2020,Virtual
93,Monthly,8/1/2020,8/31/2020,Virtual
30,Monthly,8/1/2020,8/31/2020,In-person
1539,Monthly,8/1/2020,8/31/2020,Virtual
532,Monthly,8/1/2020,8/31/2020,Virtual
1447,Monthly,8/1/2020,8/31/2020,Virtual
