enrollment,interval,start,end,model
1474,Biweekly,11/30/2020,12/13/2020,Hybrid
1820,Biweekly,1/4/2021,1/17/2021,Virtual
1820,Biweekly,1/18/2021,1/31/2021,Virtual
1820,Biweekly,2/1/2021,2/14/2021,Virtual
1820,Biweekly,2/15/2021,2/28/2021,Virtual
1820,Biweekly,3/1/2021,3/14/2021,Virtual
1820,Biweekly,3/15/2021,3/28/2021,Hybrid
1820,Biweekly,3/29/2021,4/11/2021,Hybrid
1820,Biweekly,4/12/2021,4/25/2021,Hybrid
1820,Biweekly,4/26/2021,5/9/2021,Hybrid
1820,Biweekly,5/10/2021,5/23/2021,Hybrid
1820,Biweekly,5/24/2021,6/6/2021,Hybrid
1820,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
152,Biweekly,10/12/2020,10/25/2020,In-person
152,Biweekly,10/26/2020,11/9/2020,
152,Biweekly,11/9/2020,11/29/2020,In-person
152,Biweekly,11/30/2020,12/13/2020,In-person
150,Biweekly,1/4/2021,1/17/2021,In-person
150,Biweekly,1/18/2021,1/31/2021,In-person
150,Biweekly,2/1/2021,2/14/2021,In-person
151,Biweekly,2/15/2021,2/28/2021,In-person
152,Biweekly,3/1/2021,3/14/2021,In-person
151,Biweekly,3/15/2021,3/28/2021,In-person
150,Biweekly,3/29/2021,4/11/2021,In-person
151,Biweekly,4/12/2021,4/25/2021,In-person
152,Biweekly,4/26/2021,5/9/2021,In-person
153,Biweekly,5/10/2021,5/23/2021,In-person
152,Biweekly,5/24/2021,6/6/2021,In-person
152,Biweekly,6/7/2021,6/20/2021,In-person
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
397,Biweekly,10/12/2020,10/25/2020,In-person
393,Biweekly,10/26/2020,11/9/2020,
398,Biweekly,11/9/2020,11/29/2020,In-person
397,Biweekly,11/30/2020,12/13/2020,In-person
400,Biweekly,1/4/2021,1/17/2021,In-person
400,Biweekly,1/18/2021,1/31/2021,In-person
399,Biweekly,2/1/2021,2/14/2021,In-person
399,Biweekly,2/15/2021,2/28/2021,In-person
400,Biweekly,3/1/2021,3/14/2021,In-person
401,Biweekly,3/15/2021,3/28/2021,In-person
398,Biweekly,3/29/2021,4/11/2021,In-person
394,Biweekly,4/12/2021,4/25/2021,In-person
393,Biweekly,4/26/2021,5/9/2021,In-person
395,Biweekly,5/10/2021,5/23/2021,In-person
393,Biweekly,5/24/2021,6/6/2021,In-person
393,Biweekly,6/7/2021,6/20/2021,In-person
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
616,Biweekly,10/26/2020,11/9/2020,
600,Biweekly,11/9/2020,11/29/2020,Virtual
612,Biweekly,11/30/2020,12/13/2020,Virtual
610,Biweekly,1/4/2021,1/17/2021,Hybrid
610,Biweekly,1/18/2021,1/31/2021,Hybrid
610,Biweekly,2/1/2021,2/14/2021,Hybrid
603,Biweekly,2/15/2021,2/28/2021,Hybrid
600,Biweekly,3/1/2021,3/14/2021,Hybrid
600,Biweekly,3/15/2021,3/28/2021,Hybrid
600,Biweekly,3/29/2021,4/11/2021,Hybrid
596,Biweekly,4/12/2021,4/25/2021,Hybrid
596,Biweekly,4/26/2021,5/9/2021,Hybrid
596,Biweekly,5/10/2021,5/23/2021,Hybrid
595,Biweekly,5/24/2021,6/6/2021,Hybrid
595,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
1786,Biweekly,10/26/2020,11/9/2020,
1786,Biweekly,11/9/2020,11/29/2020,Hybrid
1786,Biweekly,11/30/2020,12/13/2020,Hybrid
1786,Biweekly,1/4/2021,1/17/2021,Hybrid
1786,Biweekly,1/18/2021,1/31/2021,Hybrid
1786,Biweekly,2/1/2021,2/14/2021,Hybrid
1786,Biweekly,2/15/2021,2/28/2021,Hybrid
1786,Biweekly,3/1/2021,3/14/2021,Hybrid
1786,Biweekly,3/15/2021,3/28/2021,Hybrid
1786,Biweekly,3/29/2021,4/11/2021,Hybrid
1786,Biweekly,4/12/2021,4/25/2021,Hybrid
1786,Biweekly,4/26/2021,5/9/2021,Hybrid
1786,Biweekly,5/10/2021,5/23/2021,Hybrid
1786,Biweekly,5/24/2021,6/6/2021,Hybrid
1786,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
462,Biweekly,10/26/2020,11/9/2020,
462,Biweekly,11/9/2020,11/29/2020,Hybrid
462,Biweekly,11/30/2020,12/13/2020,Hybrid
462,Biweekly,1/4/2021,1/17/2021,Hybrid
462,Biweekly,1/18/2021,1/31/2021,Hybrid
462,Biweekly,2/1/2021,2/14/2021,Hybrid
462,Biweekly,2/15/2021,2/28/2021,Hybrid
462,Biweekly,3/1/2021,3/14/2021,Hybrid
462,Biweekly,3/15/2021,3/28/2021,Hybrid
462,Biweekly,3/29/2021,4/11/2021,Hybrid
462,Biweekly,4/12/2021,4/25/2021,Hybrid
462,Biweekly,4/26/2021,5/9/2021,Hybrid
462,Biweekly,5/10/2021,5/23/2021,Hybrid
462,Biweekly,5/24/2021,6/6/2021,Hybrid
462,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
576,Biweekly,10/12/2020,10/25/2020,Hybrid
523,Biweekly,10/26/2020,11/9/2020,
523,Biweekly,11/9/2020,11/29/2020,Hybrid
523,Biweekly,11/30/2020,12/13/2020,Hybrid
571,Biweekly,1/4/2021,1/17/2021,Virtual
571,Biweekly,1/18/2021,1/31/2021,Virtual
571,Biweekly,2/1/2021,2/14/2021,Virtual
571,Biweekly,2/15/2021,2/28/2021,Virtual
571,Biweekly,3/1/2021,3/14/2021,Virtual
571,Biweekly,3/15/2021,3/28/2021,Hybrid
571,Biweekly,3/29/2021,4/11/2021,Hybrid
571,Biweekly,4/12/2021,4/25/2021,Hybrid
571,Biweekly,4/26/2021,5/9/2021,Hybrid
571,Biweekly,5/10/2021,5/23/2021,Hybrid
571,Biweekly,5/24/2021,6/6/2021,Hybrid
571,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
342,Biweekly,10/12/2020,10/25/2020,Hybrid
284,Biweekly,10/26/2020,11/9/2020,
284,Biweekly,11/9/2020,11/29/2020,Hybrid
284,Biweekly,11/30/2020,12/13/2020,Hybrid
338,Biweekly,1/4/2021,1/17/2021,Virtual
338,Biweekly,1/18/2021,1/31/2021,Virtual
338,Biweekly,2/1/2021,2/14/2021,Virtual
338,Biweekly,2/15/2021,2/28/2021,Virtual
338,Biweekly,3/1/2021,3/14/2021,Virtual
338,Biweekly,3/15/2021,3/28/2021,Hybrid
338,Biweekly,3/29/2021,4/11/2021,Hybrid
338,Biweekly,4/12/2021,4/25/2021,Hybrid
338,Biweekly,4/26/2021,5/9/2021,Hybrid
338,Biweekly,5/10/2021,5/23/2021,Hybrid
338,Biweekly,5/24/2021,6/6/2021,Hybrid
338,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
377,Biweekly,10/12/2020,10/25/2020,Hybrid
317,Biweekly,10/26/2020,11/9/2020,
317,Biweekly,11/9/2020,11/29/2020,Hybrid
317,Biweekly,11/30/2020,12/13/2020,Hybrid
351,Biweekly,1/4/2021,1/17/2021,Virtual
351,Biweekly,1/18/2021,1/31/2021,Virtual
351,Biweekly,2/1/2021,2/14/2021,Virtual
351,Biweekly,2/15/2021,2/28/2021,Virtual
351,Biweekly,3/1/2021,3/14/2021,Virtual
351,Biweekly,3/15/2021,3/28/2021,Hybrid
351,Biweekly,3/29/2021,4/11/2021,Hybrid
351,Biweekly,4/12/2021,4/25/2021,Hybrid
351,Biweekly,4/26/2021,5/9/2021,Hybrid
351,Biweekly,5/10/2021,5/23/2021,Hybrid
351,Biweekly,5/24/2021,6/6/2021,Hybrid
351,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
262,Biweekly,10/12/2020,10/25/2020,Hybrid
175,Biweekly,10/26/2020,11/9/2020,
175,Biweekly,11/9/2020,11/29/2020,Hybrid
175,Biweekly,11/30/2020,12/13/2020,Hybrid
257,Biweekly,1/4/2021,1/17/2021,Virtual
257,Biweekly,1/18/2021,1/31/2021,Virtual
257,Biweekly,2/1/2021,2/14/2021,Virtual
257,Biweekly,2/15/2021,2/28/2021,Virtual
257,Biweekly,3/1/2021,3/14/2021,Virtual
257,Biweekly,3/15/2021,3/28/2021,Hybrid
257,Biweekly,3/29/2021,4/11/2021,Hybrid
257,Biweekly,4/12/2021,4/25/2021,Hybrid
257,Biweekly,4/26/2021,5/9/2021,Hybrid
257,Biweekly,5/10/2021,5/23/2021,Hybrid
257,Biweekly,5/24/2021,6/6/2021,Hybrid
257,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
394,Biweekly,10/12/2020,10/25/2020,Hybrid
365,Biweekly,10/26/2020,11/9/2020,
365,Biweekly,11/9/2020,11/29/2020,Hybrid
365,Biweekly,11/30/2020,12/13/2020,Hybrid
371,Biweekly,1/4/2021,1/17/2021,Hybrid
371,Biweekly,1/18/2021,1/31/2021,Hybrid
371,Biweekly,2/1/2021,2/14/2021,Hybrid
371,Biweekly,2/15/2021,2/28/2021,Hybrid
371,Biweekly,3/1/2021,3/14/2021,Hybrid
371,Biweekly,3/15/2021,3/28/2021,Hybrid
371,Biweekly,3/29/2021,4/11/2021,Hybrid
371,Biweekly,4/12/2021,4/25/2021,Hybrid
371,Biweekly,4/26/2021,5/9/2021,Hybrid
371,Biweekly,5/10/2021,5/23/2021,Hybrid
371,Biweekly,5/24/2021,6/6/2021,Hybrid
371,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
291,Biweekly,10/12/2020,10/25/2020,Hybrid
166,Biweekly,10/26/2020,11/9/2020,
166,Biweekly,11/9/2020,11/29/2020,Hybrid
166,Biweekly,11/30/2020,12/13/2020,Hybrid
277,Biweekly,1/4/2021,1/17/2021,Virtual
277,Biweekly,1/18/2021,1/31/2021,Virtual
277,Biweekly,2/1/2021,2/14/2021,Virtual
277,Biweekly,2/15/2021,2/28/2021,Virtual
277,Biweekly,3/1/2021,3/14/2021,Virtual
277,Biweekly,3/15/2021,3/28/2021,Hybrid
277,Biweekly,3/29/2021,4/11/2021,Hybrid
277,Biweekly,4/12/2021,4/25/2021,Hybrid
277,Biweekly,4/26/2021,5/9/2021,Hybrid
277,Biweekly,5/10/2021,5/23/2021,Hybrid
277,Biweekly,5/24/2021,6/6/2021,Hybrid
277,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
372,Biweekly,10/12/2020,10/25/2020,Hybrid
301,Biweekly,10/26/2020,11/9/2020,
301,Biweekly,11/9/2020,11/29/2020,Hybrid
